Id,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,HalfBath,GarageCars,GarageArea,TotRmsAbvGrd,Fireplaces,Neighborhood,HouseStyle,RoofStyle,Exterior1st,KitchenQual,HeatingQC,CentralAir,SaleCondition,SalePrice,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,TotRms AbvGrd,Garage Yr Blt,Garage Cars,Garage Area
11,9278,6,10,1967,1728,1351,3,4,0,0,113,9,0,NAmes,1Story,Gable,MetalSd,Gd,Fa,N,Family,537876,94.0,9278.0,6.0,1967,1975.0,66.0,759.0,1728.0,770,1625,1351,0,4,0,9,1969.0,0,113.0
12,16141,3,5,1998,8,2199,3,4,1,3,838,9,3,OldTown,2Story,Hip,MetalSd,Ex,Ex,N,Normal,628692,44.0,16141.0,3.0,1998,1998.0,313.0,640.0,,1292,620,2199,2,4,1,9,1999.0,3,838.0
13,18623,5,3,2015,328,4087,2,1,2,0,172,5,3,CollgCr,2Story,Flat,CemntBd,Ex,Ex,N,Partial,902747,43.0,18623.0,5.0,2015,2024.0,452.0,847.0,328.0,2262,636,4087,1,1,2,5,2016.0,0,172.0
14,9693,8,6,1983,1621,1136,6,3,1,2,458,8,3,CollgCr,1Story,Flat,MetalSd,TA,Gd,N,Normal,612622,51.0,9693.0,8.0,1983,1992.0,44.0,93.0,1621.0,2218,574,1136,1,3,1,8,1984.0,2,458.0
15,15108,7,5,2006,2225,3481,3,1,2,4,956,5,1,Somerst,1Story,Gable,CemntBd,Gd,TA,N,Abnorml,981072,67.0,15108.0,7.0,2006,2024.0,33.0,1152.0,2225.0,1664,1726,3481,1,1,2,5,2006.0,4,956.0
16,14235,6,7,2014,2001,1628,1,1,2,3,730,3,0,NridgHt,2Story,Flat,Wd Sdng,Gd,Fa,N,Normal,685336,69.0,14235.0,6.0,2014,2032.0,158.0,1769.0,2001.0,1361,1006,1628,1,1,2,3,2015.0,3,730.0
17,5465,5,3,1997,2385,2863,2,4,0,0,78,6,0,NridgHt,2Story,Flat,MetalSd,Ex,TA,N,Abnorml,714939,104.0,5465.0,5.0,1997,2012.0,203.0,453.0,2385.0,1248,1757,2863,0,4,0,6,1998.0,0,78.0
18,8324,5,9,1953,734,3616,3,4,2,1,288,6,0,Sawyer,1Story,Hip,MetalSd,Gd,Fa,N,Partial,732869,117.0,8324.0,5.0,1953,1957.0,367.0,1518.0,734.0,1618,1425,3616,2,4,2,6,1955.0,1,288.0
19,10304,3,6,2001,1344,1741,1,3,1,4,982,7,2,NAmes,1Story,Hip,MetalSd,TA,Ex,Y,Family,624238,43.0,10304.0,3.0,2001,2015.0,368.0,298.0,1344.0,1898,1402,1741,2,3,1,7,2001.0,4,982.0
20,13278,9,4,1999,2361,1378,3,1,2,3,660,9,1,NridgHt,SLvl,Gable,Wd Sdng,TA,Ex,N,Partial,739568,111.0,13278.0,9.0,1999,2016.0,245.0,33.0,2361.0,853,201,1378,1,1,2,9,1999.0,3,
21,16382,8,9,1987,2270,1121,2,4,2,3,833,5,2,Sawyer,1Story,Hip,Wd Sdng,Gd,Fa,N,Family,725814,65.0,16382.0,8.0,1987,2002.0,269.0,534.0,2270.0,2062,1779,1121,2,4,2,5,1989.0,3,833.0
22,17488,6,10,1971,347,1762,5,3,0,1,392,9,1,,2Story,Gable,VinylSd,Gd,Fa,Y,Family,633473,109.0,17488.0,6.0,1971,1982.0,210.0,1133.0,347.0,1464,466,1762,2,3,0,9,1972.0,1,392.0
23,9371,9,10,2001,999,1204,6,1,0,3,716,9,3,NAmes,2Story,Gable,BrkFace,Gd,Fa,N,Family,687621,93.0,9371.0,9.0,2001,2011.0,393.0,1196.0,999.0,2454,275,1204,0,1,0,9,2001.0,3,716.0
24,19540,9,10,1970,1944,2443,3,2,2,2,573,8,1,Somerst,SLvl,Gable,Wd Sdng,Gd,TA,N,Partial,857839,68.0,19540.0,9.0,1970,1987.0,209.0,1186.0,1944.0,2077,615,2443,0,2,2,8,1971.0,2,573.0
25,5640,5,5,1979,1568,3442,2,2,0,3,764,6,3,Sawyer,1Story,Gable,BrkFace,Fa,Ex,N,Family,759346,97.0,5640.0,5.0,1979,1996.0,421.0,1474.0,1568.0,649,1523,3442,2,2,0,6,1981.0,3,764.0
26,14526,7,9,2003,2204,3661,6,2,1,1,289,11,3,NAmes,SLvl,Hip,BrkFace,Gd,Fa,Y,Normal,993838,,14526.0,7.0,2003,2015.0,294.0,855.0,2204.0,534,907,3661,1,2,1,11,2004.0,1,289.0
27,3888,4,9,1967,1891,1344,1,3,1,2,494,6,2,NridgHt,SLvl,Hip,BrkFace,TA,Ex,N,Normal,523481,75.0,3888.0,4.0,1967,1981.0,37.0,604.0,1891.0,1702,1585,1344,1,3,1,6,1968.0,2,494.0
28,4706,8,6,1958,164,3689,1,2,0,0,159,4,1,OldTown,SLvl,Flat,VinylSd,Gd,Fa,N,Partial,735052,,4706.0,8.0,1958,1968.0,64.0,312.0,164.0,638,1691,3689,0,2,0,4,1958.0,0,159.0
29,6753,5,7,1963,2370,705,3,4,1,1,239,9,1,CollgCr,1.5Fin,Flat,CemntBd,Ex,Ex,N,Family,472821,60.0,6753.0,5.0,1963,1969.0,497.0,401.0,2370.0,528,657,705,2,4,1,9,1963.0,1,239.0
30,15142,4,8,1951,1720,3968,4,1,1,2,602,9,1,Sawyer,2Story,Flat,CemntBd,TA,Fa,N,Family,836920,94.0,15142.0,4.0,1951,1958.0,162.0,675.0,1720.0,1036,551,3968,2,1,1,9,1953.0,2,602.0
31,11794,8,6,1961,1142,4211,4,2,1,4,1036,9,2,NAmes,SLvl,Hip,MetalSd,Fa,Gd,N,Partial,950158,,11794.0,8.0,1961,1979.0,328.0,471.0,1142.0,941,1492,4211,2,2,1,9,1963.0,4,1036.0
32,12163,7,3,2016,782,950,2,4,1,4,941,7,3,Mitchel,1Story,Gable,Wd Sdng,Gd,Fa,Y,Partial,671661,75.0,12163.0,7.0,2016,2028.0,37.0,777.0,782.0,581,853,950,0,4,1,7,2018.0,4,941.0
33,15092,10,8,2004,2254,1954,3,4,1,2,504,6,0,Edwards,1.5Fin,Gable,CemntBd,,Gd,Y,Family,866242,,15092.0,10.0,2004,2011.0,,1166.0,2254.0,2389,1238,1954,0,4,1,6,2005.0,2,504.0
34,12273,4,6,1987,931,2078,2,3,0,4,912,6,0,NAmes,1.5Fin,Flat,MetalSd,Fa,Ex,Y,Partial,650945,67.0,12273.0,4.0,1987,2000.0,238.0,1706.0,931.0,623,1322,2078,2,3,0,6,1988.0,4,912.0
35,18686,10,8,1973,210,1634,4,1,0,3,785,6,0,OldTown,2Story,Flat,Wd Sdng,Ex,Gd,Y,Family,722681,83.0,18686.0,10.0,1973,1974.0,348.0,503.0,210.0,2442,182,1634,1,1,0,6,1973.0,3,785.0
36,10395,9,10,2006,1217,4123,5,4,1,4,1038,7,0,Edwards,2Story,Hip,VinylSd,Gd,Gd,Y,Normal,1066783,53.0,10395.0,9.0,2006,2016.0,264.0,1022.0,1217.0,2116,384,4123,1,4,1,7,2007.0,4,1038.0
37,3087,9,10,2010,1192,733,2,3,2,2,619,7,0,Edwards,1.5Fin,Flat,CemntBd,Gd,Fa,Y,Abnorml,623645,51.0,3087.0,9.0,2010,2025.0,176.0,1127.0,1192.0,1315,904,733,0,3,2,7,2010.0,2,619.0
38,7882,7,5,1959,244,1279,3,3,1,0,119,7,3,Somerst,SLvl,Hip,VinylSd,Ex,Fa,N,Partial,459207,88.0,7882.0,7.0,1959,1971.0,65.0,1340.0,244.0,1537,432,1279,1,3,1,7,1960.0,0,119.0
39,5992,6,3,1984,2360,764,2,4,2,3,731,5,3,Mitchel,1Story,Hip,Wd Sdng,Fa,TA,N,Normal,527971,52.0,5992.0,6.0,1984,1996.0,449.0,1402.0,2360.0,1086,1687,764,1,4,2,5,1986.0,3,731.0
40,13807,9,10,1986,1640,3932,5,1,1,0,80,9,2,CollgCr,SLvl,Flat,VinylSd,Fa,Fa,Y,Abnorml,1004858,85.0,13807.0,9.0,1986,2006.0,424.0,691.0,1640.0,1787,833,3932,2,1,1,9,1986.0,0,80.0
41,14854,10,10,1956,833,1693,5,2,1,3,838,10,0,NAmes,2Story,Flat,MetalSd,TA,Ex,N,Normal,680964,84.0,14854.0,10.0,1956,1960.0,399.0,527.0,833.0,1959,1517,1693,2,2,1,10,1958.0,3,838.0
42,6717,10,4,1969,2041,4420,6,3,2,2,546,11,3,Edwards,SLvl,Flat,MetalSd,Fa,Gd,Y,Normal,1038441,117.0,6717.0,10.0,1969,1984.0,282.0,1563.0,2041.0,1526,992,4420,1,3,2,11,1971.0,2,546.0
43,16596,8,7,1950,1158,3573,3,4,0,3,797,8,2,NridgHt,SLvl,Hip,Wd Sdng,Gd,Gd,N,Abnorml,897786,73.0,16596.0,8.0,1950,1951.0,327.0,1682.0,1158.0,2071,1555,3573,0,4,0,8,1952.0,3,797.0
44,4430,8,10,1998,1581,3318,6,2,1,0,32,12,2,CollgCr,SLvl,Gable,CemntBd,Fa,Ex,Y,Family,888386,45.0,4430.0,8.0,1998,2002.0,300.0,1000.0,1581.0,1350,1057,3318,2,2,1,12,2000.0,0,32.0
45,8058,4,10,1983,1386,3152,6,4,2,0,84,12,3,NridgHt,SLvl,Flat,VinylSd,Ex,Gd,N,Abnorml,778438,98.0,8058.0,,1983,1999.0,93.0,1481.0,1386.0,1367,1776,3152,1,4,2,12,1984.0,0,84.0
46,5961,9,4,1962,1817,1281,6,3,0,0,83,8,2,NridgHt,1.5Fin,Hip,MetalSd,Gd,Fa,Y,Abnorml,567154,108.0,5961.0,9.0,1962,1980.0,393.0,1314.0,1817.0,1937,765,1281,2,3,0,8,1963.0,0,83.0
47,5587,9,6,2013,2388,1186,2,4,2,2,557,6,0,Mitchel,1.5Fin,Flat,CemntBd,Gd,Ex,N,Partial,711329,55.0,5587.0,,2013,2023.0,494.0,1514.0,2388.0,1323,1681,1186,2,4,2,6,2015.0,2,557.0
48,12802,9,7,2008,1237,1415,4,4,0,1,317,10,2,Somerst,1.5Fin,Gable,BrkFace,TA,Ex,Y,Family,731063,88.0,12802.0,9.0,2008,2011.0,66.0,1004.0,1237.0,668,115,1415,1,4,0,10,2010.0,1,317.0
49,10540,8,6,1974,1026,3376,6,2,2,0,160,8,2,Mitchel,1Story,Flat,Wd Sdng,Gd,Ex,N,Partial,843456,50.0,10540.0,8.0,1974,1988.0,221.0,,1026.0,1811,1055,3376,1,2,2,8,1976.0,0,160.0
50,16615,5,6,1966,2209,4189,3,3,0,2,563,7,2,CollgCr,SLvl,Gable,MetalSd,Gd,Fa,N,Normal,934343,110.0,16615.0,5.0,1966,1969.0,257.0,344.0,2209.0,1598,1620,4189,0,3,0,7,1967.0,2,563.0
51,3456,7,4,2008,1509,3355,6,3,2,3,823,10,0,Edwards,SLvl,Gable,CemntBd,TA,Gd,Y,Family,883496,77.0,3456.0,7.0,2008,2024.0,466.0,1500.0,1509.0,1601,325,3355,1,3,2,10,2009.0,3,823.0
52,12902,9,4,1967,185,4475,1,3,1,0,24,4,1,Sawyer,SLvl,Hip,CemntBd,Fa,Gd,N,Normal,944556,120.0,12902.0,9.0,1967,1981.0,444.0,1628.0,185.0,1761,134,4475,2,3,1,4,1967.0,0,24.0
53,16373,7,3,1997,889,2416,4,2,1,0,175,8,2,NAmes,SLvl,Hip,MetalSd,Ex,Fa,Y,Abnorml,764927,119.0,16373.0,7.0,1997,1997.0,28.0,721.0,889.0,812,637,2416,0,2,1,8,1997.0,0,175.0
54,3699,3,8,1981,515,3823,5,2,0,4,933,11,1,Edwards,1.5Fin,Gable,CemntBd,Ex,TA,Y,Abnorml,771182,86.0,3699.0,3.0,1981,1985.0,425.0,346.0,515.0,1068,1453,3823,1,2,0,11,1981.0,4,933.0
55,11213,5,4,1953,539,660,3,2,2,2,444,6,2,NAmes,2Story,Flat,BrkFace,Ex,Ex,N,Family,380469,113.0,11213.0,5.0,1953,1966.0,63.0,286.0,539.0,671,1037,660,2,2,2,6,1953.0,2,444.0
56,19817,4,10,2014,907,4472,5,1,2,4,957,10,0,NAmes,SLvl,Hip,BrkFace,Ex,Fa,,Normal,996781,64.0,19817.0,4.0,2014,2034.0,265.0,1475.0,907.0,1134,826,4472,0,1,2,10,2015.0,4,957.0
57,13554,5,4,1966,1126,3157,6,3,1,4,1015,10,3,Sawyer,1Story,Flat,VinylSd,Gd,Fa,N,Abnorml,780493,48.0,13554.0,5.0,1966,1970.0,78.0,1119.0,1126.0,661,277,3157,0,3,1,10,1966.0,4,1015.0
58,14106,10,9,2003,389,1880,4,3,2,2,535,7,3,CollgCr,1Story,Gable,VinylSd,Fa,Ex,N,Abnorml,809713,45.0,14106.0,10.0,2003,2005.0,,1000.0,389.0,1547,1598,1880,0,3,2,7,2005.0,2,535.0
59,4965,8,4,2002,1448,4178,6,4,2,0,73,12,2,NridgHt,1Story,Flat,CemntBd,Gd,Gd,N,Abnorml,939522,69.0,4965.0,8.0,2002,2017.0,84.0,376.0,1448.0,2386,1743,4178,2,4,2,12,2003.0,0,73.0
60,14472,8,4,1985,2351,1526,4,1,2,2,447,7,2,Somerst,1.5Fin,Hip,VinylSd,Gd,Gd,N,Normal,675534,77.0,14472.0,8.0,1985,1993.0,82.0,1110.0,2351.0,916,1073,1526,2,1,2,7,1987.0,2,
61,4004,4,6,1998,1719,2458,3,2,1,2,523,9,0,NAmes,2Story,Gable,CemntBd,,Ex,N,Family,660929,50.0,4004.0,4.0,1998,2008.0,165.0,1314.0,1719.0,2495,1800,2458,0,2,1,9,1999.0,2,523.0
62,16894,10,10,2003,1118,1482,5,1,1,3,688,9,3,Somerst,1Story,Gable,BrkFace,Ex,Ex,Y,Partial,790577,69.0,16894.0,10.0,2003,2022.0,478.0,120.0,1118.0,2154,1164,1482,2,1,1,9,2004.0,3,688.0
63,7496,7,7,1991,491,631,4,4,0,1,317,10,1,NridgHt,1Story,Hip,VinylSd,Fa,Ex,,Normal,477197,52.0,7496.0,7.0,1991,2003.0,363.0,1073.0,491.0,818,59,631,0,4,0,10,1993.0,1,317.0
64,17066,9,9,1987,471,2259,1,3,0,4,997,5,0,Sawyer,1Story,Gable,BrkFace,Fa,Ex,N,Partial,828438,88.0,17066.0,9.0,1987,2007.0,115.0,69.0,471.0,1598,355,2259,0,3,0,5,1989.0,4,997.0
65,14125,6,8,1971,312,2690,6,1,2,4,929,10,2,OldTown,2Story,Gable,MetalSd,TA,Gd,Y,Abnorml,766091,75.0,14125.0,6.0,1971,1973.0,177.0,1718.0,312.0,1169,394,2690,2,1,2,10,1972.0,4,929.0
66,5469,5,10,2009,2309,3712,5,4,2,4,1044,11,2,,2Story,Hip,VinylSd,Fa,Fa,N,Partial,964028,98.0,5469.0,5.0,2009,2019.0,485.0,1734.0,,1300,1792,3712,2,4,2,11,2009.0,4,1044.0
67,4840,8,4,1989,1891,2451,1,1,1,2,459,3,3,Mitchel,1Story,Hip,CemntBd,Gd,TA,N,Abnorml,719599,86.0,4840.0,8.0,1989,2006.0,481.0,152.0,1891.0,1701,1705,2451,0,1,1,3,1990.0,2,459.0
68,17762,4,8,1960,2066,3246,2,1,0,3,772,8,1,NridgHt,1.5Fin,Hip,BrkFace,Fa,TA,Y,Partial,774721,60.0,17762.0,4.0,1960,1972.0,,1675.0,2066.0,1799,411,3246,2,1,0,8,1960.0,3,772.0
69,13803,4,9,1986,1032,3564,6,2,1,0,149,9,2,Somerst,SLvl,Gable,CemntBd,Ex,TA,N,Partial,778793,87.0,13803.0,4.0,1986,1996.0,458.0,1368.0,1032.0,2063,1714,3564,1,2,1,9,1986.0,0,149.0
70,6062,9,8,1952,1485,1865,2,2,1,3,709,5,1,OldTown,1Story,Hip,VinylSd,,TA,Y,Family,647856,85.0,6062.0,9.0,1952,1972.0,145.0,99.0,1485.0,2209,118,1865,0,2,1,5,1952.0,3,709.0
71,8316,5,5,2006,178,2282,3,2,1,4,952,8,1,Edwards,1.5Fin,Hip,MetalSd,TA,Fa,N,Partial,659792,66.0,8316.0,5.0,2006,2021.0,433.0,1565.0,178.0,1830,510,2282,0,2,1,8,2008.0,4,
72,19479,9,5,1975,2476,1166,3,1,2,3,755,9,0,CollgCr,1.5Fin,Gable,MetalSd,TA,Fa,Y,Family,686464,74.0,19479.0,,1975,1992.0,40.0,13.0,2476.0,1894,67,1166,2,1,2,9,1975.0,3,755.0
73,10275,10,8,1953,1699,818,4,3,0,3,680,8,1,NAmes,1.5Fin,Gable,Wd Sdng,,Gd,Y,Partial,609637,49.0,10275.0,10.0,1953,1954.0,128.0,844.0,1699.0,1817,934,818,2,3,0,8,1953.0,3,680.0
74,7547,10,10,1950,324,677,3,2,0,4,1035,9,3,CollgCr,1.5Fin,Gable,Wd Sdng,Ex,Ex,Y,Family,561736,117.0,7547.0,10.0,1950,,100.0,281.0,324.0,635,103,677,2,2,0,9,1950.0,4,1035.0
75,17978,4,4,2013,2444,2795,1,2,2,1,294,6,0,NridgHt,2Story,Flat,BrkFace,Gd,Ex,N,Normal,809683,61.0,17978.0,4.0,2013,2015.0,325.0,1725.0,2444.0,1135,738,2795,1,2,2,6,2014.0,1,294.0
76,19624,3,9,2010,178,3203,4,3,1,0,91,6,2,Edwards,1Story,Flat,Wd Sdng,Gd,Ex,N,Partial,802460,108.0,19624.0,3.0,2010,2017.0,489.0,1291.0,178.0,1930,1443,3203,2,3,1,6,2011.0,0,91.0
77,8737,10,10,1973,552,858,6,4,0,2,491,8,1,NAmes,1.5Fin,Hip,CemntBd,Fa,Fa,N,Normal,612469,71.0,8737.0,10.0,1973,1993.0,282.0,473.0,552.0,1395,407,858,0,4,0,8,1973.0,2,491.0
78,9262,7,8,1956,1359,1719,1,3,1,3,772,6,2,OldTown,SLvl,Flat,BrkFace,TA,TA,Y,Family,615389,60.0,9262.0,7.0,1956,1965.0,140.0,139.0,1359.0,1994,561,1719,2,3,1,6,1958.0,3,772.0
79,17110,5,7,1991,420,927,3,3,1,3,814,8,1,Mitchel,1.5Fin,Hip,VinylSd,TA,Fa,N,Normal,519317,99.0,17110.0,5.0,1991,1998.0,64.0,1448.0,420.0,2452,754,927,2,3,1,8,1992.0,3,814.0
80,16310,8,5,1953,584,4076,5,4,0,1,237,8,2,NridgHt,SLvl,Flat,VinylSd,Gd,Fa,N,Partial,909914,88.0,16310.0,8.0,1953,1955.0,320.0,309.0,584.0,2233,1686,4076,0,4,0,8,1955.0,1,237.0
81,5519,5,8,2000,1287,3260,3,2,0,0,47,8,3,CollgCr,1.5Fin,Hip,BrkFace,Gd,TA,N,Abnorml,751396,74.0,5519.0,,2000,2013.0,155.0,18.0,1287.0,988,950,3260,0,2,0,8,2000.0,0,
82,7447,4,10,1972,1823,959,6,3,2,2,456,12,2,Somerst,2Story,Flat,MetalSd,TA,Gd,Y,Abnorml,488268,111.0,7447.0,,1972,1975.0,314.0,447.0,1823.0,618,1034,959,1,3,2,12,1972.0,2,456.0
83,10757,10,3,1996,2269,2944,3,4,2,1,376,5,0,Somerst,SLvl,Flat,BrkFace,Fa,Fa,Y,Abnorml,913813,68.0,10757.0,10.0,1996,2016.0,273.0,1035.0,2269.0,1000,812,2944,2,4,2,5,1996.0,1,376.0
84,5430,10,10,2016,1411,1125,5,2,0,3,788,7,0,OldTown,1.5Fin,Gable,MetalSd,TA,Gd,N,Partial,671933,81.0,5430.0,10.0,2016,2019.0,47.0,933.0,1411.0,676,1301,1125,1,2,0,7,2016.0,3,788.0
85,11211,6,7,1966,1240,3116,5,1,2,1,371,11,1,OldTown,1.5Fin,Flat,VinylSd,Ex,Ex,Y,Partial,767058,47.0,11211.0,6.0,1966,1980.0,257.0,764.0,1240.0,2393,253,3116,0,1,2,11,1966.0,1,371.0
86,9907,9,3,2013,2234,1786,6,3,1,1,395,11,2,Mitchel,1Story,Flat,VinylSd,Gd,Fa,N,Family,771789,69.0,9907.0,9.0,2013,2018.0,328.0,123.0,2234.0,1389,1395,1786,0,3,1,11,2014.0,1,395.0
87,9685,8,5,1990,1307,3607,3,4,0,2,571,9,0,NridgHt,2Story,Hip,VinylSd,TA,Fa,Y,Abnorml,894039,44.0,9685.0,8.0,1990,1999.0,86.0,1265.0,1307.0,737,62,3607,0,4,0,9,1990.0,2,571.0
88,4658,7,9,2003,1016,4144,2,3,2,2,488,5,3,Mitchel,SLvl,Hip,BrkFace,Ex,Ex,N,Family,950964,80.0,4658.0,7.0,2003,2003.0,303.0,1306.0,1016.0,1428,495,4144,0,3,2,5,2004.0,2,
89,10049,8,3,1956,1152,2627,5,4,1,4,882,7,3,OldTown,1.5Fin,Flat,Wd Sdng,Fa,TA,Y,Family,750006,91.0,10049.0,8.0,1956,1957.0,482.0,1365.0,1152.0,1753,762,2627,0,4,1,7,1957.0,4,882.0
90,9378,8,7,1959,1582,2665,4,3,2,4,910,7,0,Sawyer,1.5Fin,Hip,CemntBd,TA,Gd,Y,Family,789411,,9378.0,8.0,1959,1969.0,297.0,1262.0,1582.0,1746,1001,2665,1,3,2,7,1960.0,4,910.0
91,4319,3,3,1967,1364,3893,4,4,0,4,1011,7,2,NridgHt,2Story,Hip,CemntBd,TA,TA,N,Partial,771536,48.0,4319.0,3.0,1967,1968.0,78.0,989.0,1364.0,612,1216,3893,2,4,0,7,1968.0,4,1011.0
92,3545,8,8,1964,1706,2990,3,1,2,3,727,9,1,NAmes,SLvl,Gable,CemntBd,Fa,Gd,Y,Normal,792503,67.0,3545.0,8.0,1964,1973.0,87.0,1350.0,1706.0,1133,913,2990,0,1,2,9,1965.0,3,727.0
93,6601,6,3,2006,1284,2315,2,4,2,1,325,8,3,NAmes,2Story,Flat,MetalSd,TA,Fa,N,Partial,696495,112.0,6601.0,6.0,2006,2017.0,337.0,999.0,1284.0,1864,363,2315,2,4,2,8,2007.0,1,325.0
94,18062,8,8,1983,2498,2583,2,2,1,4,956,5,2,Somerst,2Story,Flat,BrkFace,TA,Fa,N,Partial,886022,80.0,18062.0,8.0,1983,1994.0,319.0,,2498.0,2018,1782,2583,0,2,1,5,1985.0,4,956.0
95,6993,9,9,1994,599,1789,1,3,2,0,88,6,2,Mitchel,2Story,Gable,CemntBd,TA,TA,Y,Normal,709152,67.0,,9.0,1994,2007.0,368.0,13.0,599.0,1847,971,1789,1,3,2,6,1994.0,0,88.0
96,10840,6,3,2017,924,3213,2,1,0,3,744,7,0,OldTown,1Story,Flat,MetalSd,Fa,Fa,N,Abnorml,839079,,10840.0,6.0,2017,2021.0,461.0,1089.0,924.0,2016,1201,3213,1,1,0,7,2018.0,3,744.0
97,12412,8,7,1957,366,3271,5,2,2,0,44,10,1,NAmes,SLvl,Hip,MetalSd,TA,Ex,,Partial,788623,90.0,12412.0,8.0,1957,1964.0,309.0,1129.0,366.0,859,1129,3271,1,2,2,10,1957.0,0,44.0
98,6516,8,7,2008,2225,2747,4,2,2,3,729,7,0,NridgHt,2Story,Flat,BrkFace,TA,Gd,Y,Partial,857345,98.0,6516.0,8.0,2008,2024.0,172.0,842.0,2225.0,744,716,2747,1,2,2,7,2008.0,3,729.0
99,9329,5,9,2004,2110,1943,1,4,2,0,47,4,3,NridgHt,2Story,Gable,Wd Sdng,Fa,Gd,N,Partial,696786,58.0,9329.0,5.0,2004,2017.0,431.0,24.0,2110.0,525,705,1943,2,4,2,4,2004.0,0,47.0
100,12894,3,7,1996,967,854,6,1,1,2,480,11,2,CollgCr,1.5Fin,Hip,CemntBd,Gd,Gd,,Family,459528,73.0,,3.0,1996,2014.0,473.0,34.0,967.0,1949,334,854,1,1,1,11,1997.0,2,480.0
101,17908,8,9,2020,1928,3702,5,2,0,4,900,11,3,NridgHt,1Story,Flat,VinylSd,Ex,Gd,,Abnorml,1093671,57.0,17908.0,8.0,2020,2025.0,288.0,1084.0,1928.0,781,1715,3702,1,2,0,11,2021.0,4,900.0
102,17478,4,6,2024,2002,972,5,4,0,3,693,11,3,Mitchel,1Story,Flat,BrkFace,TA,Ex,N,Partial,629975,71.0,17478.0,4.0,2024,2029.0,21.0,1479.0,2002.0,1936,529,972,1,4,0,11,2024.0,3,693.0
103,10140,4,3,2004,1411,3468,1,1,0,3,668,5,3,OldTown,2Story,Flat,BrkFace,TA,Fa,N,Family,808203,111.0,10140.0,4.0,2004,2009.0,422.0,562.0,1411.0,523,1533,3468,0,1,0,5,2006.0,3,668.0
